# frame,DetObj#,x,y,z,v,snr,noise,label
1.000000000000000000e+01,0.000000000000000000e+00,-1.499736215919256210e-02,4.097000882029533386e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+02,6.980000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,-3.272151574492454529e-02,2.885766699910163879e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+02,6.980000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.000000000000000000e+00,-7.362341135740280151e-02,4.683420807123184204e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.810000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,3.000000000000000000e+00,-3.544830903410911560e-02,7.973247766494750977e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.810000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,4.000000000000000000e+00,-1.186154931783676147e-01,5.533105507493019104e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.770000000000000000e+02,6.670000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+00,-6.135284155607223511e-02,1.156156957149505615e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.770000000000000000e+02,6.670000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,6.000000000000000000e+00,-1.581539958715438843e-01,7.377474009990692139e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.870000000000000000e+02,6.650000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,7.000000000000000000e+00,-7.635020464658737183e-02,1.569268852472305298e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.870000000000000000e+02,6.650000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,8.000000000000000000e+00,-1.636075824499130249e-01,1.442883312702178955e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.020000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,9.000000000000000000e+00,2.045094780623912811e-02,2.171826958656311035e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.020000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+01,-2.372309863567352295e-01,1.106621101498603821e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.210000000000000000e+02,7.010000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.100000000000000000e+01,1.717879623174667358e-01,1.975184679031372070e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.210000000000000000e+02,7.010000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.200000000000000000e+01,-4.908227548003196716e-02,7.837811112403869629e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.610000000000000000e+02,6.980000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.300000000000000000e+01,2.208702415227890015e-01,7.536167502403259277e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.610000000000000000e+02,6.980000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.400000000000000000e+01,2.072362750768661499e-01,8.026226758956909180e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.500000000000000000e+01,-7.771360129117965698e-02,8.252942562103271484e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.600000000000000000e+01,-5.453586205840110779e-02,8.708679080009460449e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.670000000000000000e+02,6.670000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.700000000000000000e+01,2.454113811254501343e-01,8.373519778251647949e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.670000000000000000e+02,6.670000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.800000000000000000e+01,-5.726265534758567810e-02,9.144112467765808105e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.030000000000000000e+02,6.650000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.900000000000000000e+01,2.863132655620574951e-01,8.703170418739318848e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.030000000000000000e+02,6.650000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.000000000000000000e+01,-8.998417109251022339e-02,9.556038379669189453e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.980000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.100000000000000000e+01,2.999472320079803467e-01,9.117606878280639648e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.980000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.200000000000000000e+01,2.508649528026580811e-01,9.715957641601562500e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000000e+02,7.010000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.300000000000000000e+01,-5.017299056053161621e-01,8.690216541290283203e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000000e+02,7.010000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.400000000000000000e+01,-5.889872908592224121e-01,8.657298684120178223e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.820000000000000000e+02,7.310000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.500000000000000000e+01,-6.476133465766906738e-01,8.776450753211975098e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.680000000000000000e+02,7.670000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.600000000000000000e+01,3.408491313457489014e-01,1.036091566085815430e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.680000000000000000e+02,7.670000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.700000000000000000e+01,3.899314105510711670e-01,1.065220236778259277e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000000e+02,8.080000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.800000000000000000e+01,-3.190347850322723389e-01,1.088557481765747070e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000000e+02,8.080000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.900000000000000000e+01,4.049287736415863037e-01,1.106190204620361328e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.130000000000000000e+02,8.500000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,3.000000000000000000e+01,-3.681170642375946045e-01,1.118978977203369141e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.130000000000000000e+02,8.500000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,3.100000000000000000e+01,3.817510306835174561e-01,1.160422682762145996e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.030000000000000000e+02,8.570000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,3.200000000000000000e+01,-3.817510232329368591e-02,1.221006631851196289e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.030000000000000000e+02,8.570000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,3.300000000000000000e+01,3.953849971294403076e-01,1.201866388320922852e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,8.450000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,3.400000000000000000e+01,-3.953849896788597107e-02,1.264613986015319824e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,8.450000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,3.500000000000000000e+01,-4.649182260036468506e-01,1.270070314407348633e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000000e+02,8.250000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,3.600000000000000000e+01,-8.453058451414108276e-02,1.349845170974731445e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000000e+02,8.250000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,3.700000000000000000e+01,-5.235442519187927246e-01,1.294236063957214355e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.160000000000000000e+02,8.260000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,3.800000000000000000e+01,-1.003459811210632324e+00,9.706770777702331543e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.160000000000000000e+02,8.260000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,3.900000000000000000e+01,-4.949129521846771240e-01,1.352010369300842285e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.240000000000000000e+02,8.210000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,4.000000000000000000e+01,-9.898259043693542480e-01,1.045521616935729980e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.240000000000000000e+02,8.210000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,4.100000000000000000e+01,-5.099102854728698730e-01,1.392980337142944336e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000000e+02,8.220000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,4.200000000000000000e+01,-9.734651446342468262e-01,1.119271278381347656e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000000e+02,8.220000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,4.300000000000000000e+01,1.581539958715438843e-01,2.525516748428344727e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+02,8.050000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+01,4.400000000000000000e+01,1.608807891607284546e-01,2.569060087203979492e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.090000000000000000e+02,8.040000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+01,4.500000000000000000e+01,8.180379122495651245e-02,2.616442680358886719e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.110000000000000000e+02,8.070000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+01,4.600000000000000000e+01,8.316718786954879761e-02,2.660050153732299805e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.150000000000000000e+02,8.110000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+01,4.700000000000000000e+01,2.495015561580657959e-01,2.649628877639770508e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.150000000000000000e+02,8.110000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+01,4.800000000000000000e+01,2.535917460918426514e-01,2.693065404891967773e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.750000000000000000e+02,8.120000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+01,4.900000000000000000e+01,1.717879623174667358e-01,2.743233680725097656e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.150000000000000000e+02,8.300000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,8.725737780332565308e-02,2.790872335433959961e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.300000000000000000e+01,8.330000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+01,5.100000000000000000e+01,1.772415488958358765e-01,2.830320596694946289e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.050000000000000000e+02,8.310000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+01,5.200000000000000000e+01,-1.772415451705455780e-02,3.986623883247375488e-02,0.000000000000000000e+00,1.217325702309608459e-01,4.080000000000000000e+02,6.580000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,5.300000000000000000e+01,-3.544830903410911560e-02,2.543383277952671051e-02,0.000000000000000000e+00,1.217325702309608459e-01,4.080000000000000000e+02,6.580000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,5.400000000000000000e+01,-7.635020464658737183e-02,4.224329441785812378e-02,0.000000000000000000e+00,1.217325702309608459e-01,4.720000000000000000e+02,6.320000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,5.500000000000000000e+01,-3.272151574492454529e-02,8.088975399732589722e-02,0.000000000000000000e+00,1.217325702309608459e-01,4.720000000000000000e+02,6.320000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,5.600000000000000000e+01,-1.186154931783676147e-01,5.533105507493019104e-02,0.000000000000000000e+00,1.217325702309608459e-01,4.670000000000000000e+02,6.260000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,5.700000000000000000e+01,-5.726265162229537964e-02,1.176951527595520020e-01,0.000000000000000000e+00,1.217325702309608459e-01,4.670000000000000000e+02,6.260000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,5.800000000000000000e+01,-1.690611690282821655e-01,4.328649118542671204e-02,0.000000000000000000e+00,1.217325702309608459e-01,3.770000000000000000e+02,6.240000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,5.900000000000000000e+01,-7.635020464658737183e-02,1.569268852472305298e-01,0.000000000000000000e+00,1.217325702309608459e-01,3.770000000000000000e+02,6.240000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,6.000000000000000000e+01,-1.772415488958358765e-01,1.271691620349884033e-01,0.000000000000000000e+00,1.217325702309608459e-01,1.870000000000000000e+02,6.380000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,6.100000000000000000e+01,-1.636075824499130249e-01,1.442883312702178955e-01,0.000000000000000000e+00,1.217325702309608459e-01,1.870000000000000000e+02,6.380000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,6.200000000000000000e+01,-2.372309863567352295e-01,1.106621101498603821e-01,0.000000000000000000e+00,1.217325702309608459e-01,1.130000000000000000e+02,6.600000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,6.300000000000000000e+01,-1.636075824499130249e-01,2.043457925319671631e-01,0.000000000000000000e+00,1.217325702309608459e-01,1.130000000000000000e+02,6.600000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,6.400000000000000000e+01,-7.362341135740280151e-02,7.818577289581298828e-01,0.000000000000000000e+00,1.217325702309608459e-01,1.500000000000000000e+02,6.580000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,6.500000000000000000e+01,2.208702415227890015e-01,7.536167502403259277e-01,0.000000000000000000e+00,1.217325702309608459e-01,1.500000000000000000e+02,6.580000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,6.600000000000000000e+01,1.813317388296127319e-01,8.088688254356384277e-01,0.000000000000000000e+00,1.217325702309608459e-01,2.310000000000000000e+02,6.320000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,6.700000000000000000e+01,-1.036181375384330750e-01,8.224434852600097656e-01,0.000000000000000000e+00,1.217325702309608459e-01,2.310000000000000000e+02,6.320000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,6.800000000000000000e+01,-5.453586205840110779e-02,8.708679080009460449e-01,0.000000000000000000e+00,1.217325702309608459e-01,2.530000000000000000e+02,6.260000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,6.900000000000000000e+01,2.181434482336044312e-01,8.448659181594848633e-01,0.000000000000000000e+00,1.217325702309608459e-01,2.530000000000000000e+02,6.260000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,7.000000000000000000e+01,-8.589398115873336792e-02,9.121673107147216797e-01,0.000000000000000000e+00,1.217325702309608459e-01,2.890000000000000000e+02,6.240000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,7.100000000000000000e+01,2.576819360256195068e-01,8.792195320129394531e-01,0.000000000000000000e+00,1.217325702309608459e-01,2.890000000000000000e+02,6.240000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,7.200000000000000000e+01,-8.998417109251022339e-02,9.556038379669189453e-01,0.000000000000000000e+00,1.217325702309608459e-01,2.830000000000000000e+02,6.380000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,7.300000000000000000e+01,2.699525058269500732e-01,9.210871458053588867e-01,0.000000000000000000e+00,1.217325702309608459e-01,2.830000000000000000e+02,6.380000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,7.400000000000000000e+01,2.508649528026580811e-01,9.715957641601562500e-01,0.000000000000000000e+00,1.217325702309608459e-01,2.130000000000000000e+02,6.600000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,7.500000000000000000e+01,6.898786425590515137e-01,7.286967635154724121e-01,0.000000000000000000e+00,1.217325702309608459e-01,2.130000000000000000e+02,6.600000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,7.600000000000000000e+01,-6.217088103294372559e-01,8.425393104553222656e-01,0.000000000000000000e+00,1.217325702309608459e-01,1.630000000000000000e+02,6.870000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,7.700000000000000000e+01,-1.963290870189666748e-01,1.028517961502075195e+00,0.000000000000000000e+00,1.217325702309608459e-01,1.630000000000000000e+02,6.870000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,7.800000000000000000e+01,-6.476133465766906738e-01,8.776450753211975098e-01,0.000000000000000000e+00,1.217325702309608459e-01,1.620000000000000000e+02,7.210000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,7.900000000000000000e+01,3.408491313457489014e-01,1.036091566085815430e+00,0.000000000000000000e+00,1.217325702309608459e-01,1.620000000000000000e+02,7.210000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,8.000000000000000000e+01,3.544830977916717529e-01,1.077535271644592285e+00,0.000000000000000000e+00,1.217325702309608459e-01,1.320000000000000000e+02,7.590000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,8.100000000000000000e+01,-3.190347850322723389e-01,1.088557481765747070e+00,0.000000000000000000e+00,1.217325702309608459e-01,1.320000000000000000e+02,7.590000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,8.200000000000000000e+01,4.049287736415863037e-01,1.106190204620361328e+00,0.000000000000000000e+00,1.217325702309608459e-01,1.060000000000000000e+02,8.030000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,8.300000000000000000e+01,-4.049287736415863037e-01,1.106190204620361328e+00,0.000000000000000000e+00,1.217325702309608459e-01,1.060000000000000000e+02,8.030000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,8.400000000000000000e+01,3.817510306835174561e-01,1.160422682762145996e+00,0.000000000000000000e+00,1.217325702309608459e-01,1.050000000000000000e+02,8.030000000000000000e+02,3.000000000000000000e+00
