# frame,posX,poxY,cluster
0.000000000000000000e+00,-1.499736215919256210e-02,4.097000882029533386e-02,0.000000000000000000e+00
0.000000000000000000e+00,-1.772415451705455780e-02,3.986623883247375488e-02,0.000000000000000000e+00
0.000000000000000000e+00,-7.362341135740280151e-02,4.683420807123184204e-02,0.000000000000000000e+00
0.000000000000000000e+00,-3.544830903410911560e-02,7.973247766494750977e-02,0.000000000000000000e+00
0.000000000000000000e+00,-1.186154931783676147e-01,5.533105507493019104e-02,0.000000000000000000e+00
0.000000000000000000e+00,-6.135284155607223511e-02,1.156156957149505615e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.581539958715438843e-01,7.377474009990692139e-02,0.000000000000000000e+00
0.000000000000000000e+00,-7.635020464658737183e-02,1.569268852472305298e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.636075824499130249e-01,1.442883312702178955e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.045094780623912811e-02,2.171826958656311035e-01,0.000000000000000000e+00
0.000000000000000000e+00,-2.372309863567352295e-01,1.106621101498603821e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.717879623174667358e-01,1.975184679031372070e-01,0.000000000000000000e+00
0.000000000000000000e+00,-4.908227548003196716e-02,7.837811112403869629e-01,0.000000000000000000e+00
0.000000000000000000e+00,-5.180906876921653748e-02,8.273245096206665039e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.090717241168022156e-01,8.657299280166625977e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.294699132442474365e-01,8.093099594116210938e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.726265311241149902e-01,7.152103781700134277e-01,0.000000000000000000e+00
0.000000000000000000e+00,-5.099102854728698730e-01,8.131834864616394043e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.998417109251022339e-02,9.556038379669189453e-01,0.000000000000000000e+00
0.000000000000000000e+00,-5.330880284309387207e-01,8.501462936401367188e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.017299056053161621e-01,8.690216541290283203e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.944936454296112061e-01,1.004822254180908203e+00,0.000000000000000000e+00
0.000000000000000000e+00,-5.562657713890075684e-01,8.871091604232788086e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.067642152309417725e-01,1.046689867973327637e+00,0.000000000000000000e+00
0.000000000000000000e+00,-6.816982477903366089e-02,1.088584780693054199e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.444145083427429199e-01,8.559132814407348633e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.544830977916717529e-01,1.077535271644592285e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.047088503837585449e+00,9.234453439712524414e-01,0.000000000000000000e+00
0.000000000000000000e+00,-4.799155890941619873e-01,1.311040282249450684e+00,0.000000000000000000e+00
0.000000000000000000e+00,-4.499208629131317139e-01,1.367640972137451172e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.124802112579345703e+00,8.987162709236145020e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.772415451705455780e-02,3.986623883247375488e-02,0.000000000000000000e+00
0.000000000000000000e+00,-3.544830903410911560e-02,2.543383277952671051e-02,0.000000000000000000e+00
0.000000000000000000e+00,-7.635020464658737183e-02,4.224329441785812378e-02,0.000000000000000000e+00
0.000000000000000000e+00,-3.272151574492454529e-02,8.088975399732589722e-02,0.000000000000000000e+00
0.000000000000000000e+00,-1.186154931783676147e-01,5.533105507493019104e-02,0.000000000000000000e+00
0.000000000000000000e+00,-5.726265162229537964e-02,1.176951527595520020e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.690611690282821655e-01,4.328649118542671204e-02,0.000000000000000000e+00
0.000000000000000000e+00,-7.635020464658737183e-02,1.569268852472305298e-01,0.000000000000000000e+00
0.000000000000000000e+00,-2.045094817876815796e-01,7.591070979833602905e-02,0.000000000000000000e+00
0.000000000000000000e+00,-1.704245656728744507e-01,1.361691206693649292e-01,0.000000000000000000e+00
0.000000000000000000e+00,-2.372309863567352295e-01,1.106621101498603821e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.908227175474166870e-02,2.571294903755187988e-01,0.000000000000000000e+00
0.000000000000000000e+00,-4.908227548003196716e-02,7.837811112403869629e-01,0.000000000000000000e+00
0.000000000000000000e+00,-7.771360129117965698e-02,8.252942562103271484e-01,0.000000000000000000e+00
0.000000000000000000e+00,-8.180379122495651245e-02,8.687307834625244141e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.294699132442474365e-01,8.093099594116210938e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.726265311241149902e-01,7.152103781700134277e-01,0.000000000000000000e+00
0.000000000000000000e+00,-5.099102854728698730e-01,8.131834864616394043e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.998417109251022339e-02,9.556038379669189453e-01,0.000000000000000000e+00
0.000000000000000000e+00,-5.644461512565612793e-01,8.296577930450439453e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.703717827796936035e-01,8.863870501518249512e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.617721259593963623e-01,1.013839125633239746e+00,0.000000000000000000e+00
0.000000000000000000e+00,-5.562657713890075684e-01,8.871091604232788086e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.067642152309417725e-01,1.046689867973327637e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.022547334432601929e-01,1.085913419723510742e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.444145083427429199e-01,8.559132814407348633e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.190347850322723389e-01,1.088557481765747070e+00,0.000000000000000000e+00
0.000000000000000000e+00,-4.499208629131317139e-01,1.367640972137451172e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.124802112579345703e+00,8.987162709236145020e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.908755116164684296e-02,3.923172131180763245e-02,0.000000000000000000e+00
0.000000000000000000e+00,-3.681170567870140076e-02,2.341710403561592102e-02,0.000000000000000000e+00
0.000000000000000000e+00,-7.635020464658737183e-02,4.224329441785812378e-02,0.000000000000000000e+00
0.000000000000000000e+00,-3.817510232329368591e-02,7.846344262361526489e-02,0.000000000000000000e+00
0.000000000000000000e+00,-1.267958730459213257e-01,3.246488049626350403e-02,0.000000000000000000e+00
0.000000000000000000e+00,-6.135284155607223511e-02,1.156156957149505615e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.636075787246227264e-02,4.044487699866294861e-02,0.000000000000000000e+00
0.000000000000000000e+00,-3.408491238951683044e-02,2.723382413387298584e-02,0.000000000000000000e+00
0.000000000000000000e+00,-7.089661806821823120e-02,5.086766555905342102e-02,0.000000000000000000e+00
0.000000000000000000e+00,-3.272151574492454529e-02,8.088975399732589722e-02,0.000000000000000000e+00
0.000000000000000000e+00,-1.145253032445907593e-01,6.336494535207748413e-02,0.000000000000000000e+00
0.000000000000000000e+00,-5.726265162229537964e-02,1.176951527595520020e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.636075787246227264e-02,4.044487699866294861e-02,0.000000000000000000e+00
0.000000000000000000e+00,-3.408491238951683044e-02,2.723382413387298584e-02,0.000000000000000000e+00
0.000000000000000000e+00,-7.362341135740280151e-02,4.683420807123184204e-02,0.000000000000000000e+00
0.000000000000000000e+00,-3.272151574492454529e-02,8.088975399732589722e-02,0.000000000000000000e+00
0.000000000000000000e+00,-1.145253032445907593e-01,6.336494535207748413e-02,0.000000000000000000e+00
0.000000000000000000e+00,-5.726265162229537964e-02,1.176951527595520020e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.581539958715438843e-01,7.377474009990692139e-02,0.000000000000000000e+00
0.000000000000000000e+00,-7.089661806821823120e-02,1.594649553298950195e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.636075824499130249e-01,1.442883312702178955e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.045094780623912811e-02,2.171826958656311035e-01,0.000000000000000000e+00
0.000000000000000000e+00,-2.454113662242889404e-01,9.109283983707427979e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.717879623174667358e-01,1.975184679031372070e-01,0.000000000000000000e+00
0.000000000000000000e+00,-2.454113774001598358e-02,7.849328517913818359e-01,0.000000000000000000e+00
0.000000000000000000e+00,-7.771360129117965698e-02,8.252942562103271484e-01,0.000000000000000000e+00
0.000000000000000000e+00,-8.180379122495651245e-02,8.687307834625244141e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.294699132442474365e-01,8.093099594116210938e-01,0.000000000000000000e+00
0.000000000000000000e+00,-4.008385837078094482e-01,8.238661289215087891e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.199788972735404968e-01,9.523029923439025879e-01,0.000000000000000000e+00
0.000000000000000000e+00,-4.799155890941619873e-01,8.312382102012634277e-01,0.000000000000000000e+00
0.000000000000000000e+00,-5.330880284309387207e-01,8.501462936401367188e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.644461512565612793e-01,8.296577930450439453e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.944936454296112061e-01,1.004822254180908203e+00,0.000000000000000000e+00
0.000000000000000000e+00,-5.562657713890075684e-01,8.871091604232788086e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.067642152309417725e-01,1.046689867973327637e+00,0.000000000000000000e+00
0.000000000000000000e+00,-6.816982477903366089e-02,1.088584780693054199e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.444145083427429199e-01,8.559132814407348633e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.544830977916717529e-01,1.077535271644592285e+00,0.000000000000000000e+00
0.000000000000000000e+00,-4.049287736415863037e-01,1.381630659103393555e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.079810023307800293e+00,9.523030519485473633e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.849498748779296875e+00,7.784301280975341797e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.604087352752685547e+00,7.915739536285400391e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.644989252090454102e+00,8.040070533752441406e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.658623218536376953e+00,8.081515312194824219e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.939482927322387695e+00,8.030121803283691406e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.590453386306762695e+00,7.874296188354492188e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.604087352752685547e+00,7.915739536285400391e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.380490303039550781e+00,8.122313499450683594e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.658623218536376953e+00,8.081515312194824219e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.672257184982299805e+00,8.122958183288574219e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.849498748779296875e+00,7.784301280975341797e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.604087352752685547e+00,7.915739536285400391e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.644989252090454102e+00,8.040070533752441406e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.658623218536376953e+00,8.081515312194824219e+00,1.000000000000000000e+00
1.000000000000000000e+00,-1.499736215919256210e-02,4.097000882029533386e-02,0.000000000000000000e+00
1.000000000000000000e+00,-1.772415451705455780e-02,3.986623883247375488e-02,0.000000000000000000e+00
1.000000000000000000e+00,-7.362341135740280151e-02,4.683420807123184204e-02,0.000000000000000000e+00
1.000000000000000000e+00,-3.544830903410911560e-02,7.973247766494750977e-02,0.000000000000000000e+00
1.000000000000000000e+00,-1.145253032445907593e-01,6.336494535207748413e-02,0.000000000000000000e+00
1.000000000000000000e+00,-6.135284155607223511e-02,1.156156957149505615e-01,0.000000000000000000e+00
1.000000000000000000e+00,-1.581539958715438843e-01,7.377474009990692139e-02,0.000000000000000000e+00
1.000000000000000000e+00,-7.635020464658737183e-02,1.569268852472305298e-01,0.000000000000000000e+00
1.000000000000000000e+00,2.045094780623912811e-02,2.171826958656311035e-01,0.000000000000000000e+00
1.000000000000000000e+00,-1.636075824499130249e-01,1.442883312702178955e-01,0.000000000000000000e+00
1.000000000000000000e+00,-2.372309863567352295e-01,1.106621101498603821e-01,0.000000000000000000e+00
1.000000000000000000e+00,-2.208702266216278076e-01,1.405026316642761230e-01,0.000000000000000000e+00
1.000000000000000000e+00,-4.908227548003196716e-02,7.837811112403869629e-01,0.000000000000000000e+00
1.000000000000000000e+00,-5.180906876921653748e-02,8.273245096206665039e-01,0.000000000000000000e+00
1.000000000000000000e+00,-1.090717241168022156e-01,8.657299280166625977e-01,0.000000000000000000e+00
1.000000000000000000e+00,4.294699132442474365e-01,8.093099594116210938e-01,0.000000000000000000e+00
1.000000000000000000e+00,-4.008385837078094482e-01,8.238661289215087891e-01,0.000000000000000000e+00
1.000000000000000000e+00,-4.799155890941619873e-01,8.312382102012634277e-01,0.000000000000000000e+00
1.000000000000000000e+00,8.998417109251022339e-02,9.556038379669189453e-01,0.000000000000000000e+00
1.000000000000000000e+00,-5.330880284309387207e-01,8.501462936401367188e-01,0.000000000000000000e+00
1.000000000000000000e+00,5.330880284309387207e-01,8.501462936401367188e-01,0.000000000000000000e+00
1.000000000000000000e+00,2.944936454296112061e-01,1.004822254180908203e+00,0.000000000000000000e+00
1.000000000000000000e+00,-5.235442519187927246e-01,9.068052172660827637e-01,0.000000000000000000e+00
1.000000000000000000e+00,3.067642152309417725e-01,1.046689867973327637e+00,0.000000000000000000e+00
1.000000000000000000e+00,-6.816982477903366089e-02,1.088584780693054199e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.444145083427429199e-01,8.559132814407348633e-01,0.000000000000000000e+00
1.000000000000000000e+00,3.544830977916717529e-01,1.077535271644592285e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.047088503837585449e+00,9.234453439712524414e-01,0.000000000000000000e+00
1.000000000000000000e+00,-4.799155890941619873e-01,1.311040282249450684e+00,0.000000000000000000e+00
1.000000000000000000e+00,-4.049287736415863037e-01,1.381630659103393555e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.124802112579345703e+00,8.987162709236145020e-01,0.000000000000000000e+00
1.000000000000000000e+00,-1.772415451705455780e-02,3.986623883247375488e-02,0.000000000000000000e+00
1.000000000000000000e+00,-3.408491238951683044e-02,2.723382413387298584e-02,0.000000000000000000e+00
1.000000000000000000e+00,-7.635020464658737183e-02,4.224329441785812378e-02,0.000000000000000000e+00
1.000000000000000000e+00,-3.272151574492454529e-02,8.088975399732589722e-02,0.000000000000000000e+00
1.000000000000000000e+00,-1.186154931783676147e-01,5.533105507493019104e-02,0.000000000000000000e+00
1.000000000000000000e+00,-5.726265162229537964e-02,1.176951527595520020e-01,0.000000000000000000e+00
1.000000000000000000e+00,-1.690611690282821655e-01,4.328649118542671204e-02,0.000000000000000000e+00
1.000000000000000000e+00,-7.635020464658737183e-02,1.569268852472305298e-01,0.000000000000000000e+00
1.000000000000000000e+00,-1.636075824499130249e-01,1.442883312702178955e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.363396551460027695e-02,2.177169770002365112e-01,0.000000000000000000e+00
1.000000000000000000e+00,-4.908227548003196716e-02,7.837811112403869629e-01,0.000000000000000000e+00
1.000000000000000000e+00,-7.771360129117965698e-02,8.252942562103271484e-01,0.000000000000000000e+00
1.000000000000000000e+00,-8.180379122495651245e-02,8.687307834625244141e-01,0.000000000000000000e+00
1.000000000000000000e+00,4.008385837078094482e-01,8.238661289215087891e-01,0.000000000000000000e+00
1.000000000000000000e+00,-4.294699132442474365e-01,8.093099594116210938e-01,0.000000000000000000e+00
1.000000000000000000e+00,-5.099102854728698730e-01,8.131834864616394043e-01,0.000000000000000000e+00
1.000000000000000000e+00,5.998944863677024841e-02,9.579547047615051270e-01,0.000000000000000000e+00
1.000000000000000000e+00,-5.644461512565612793e-01,8.296577930450439453e-01,0.000000000000000000e+00
1.000000000000000000e+00,5.330880284309387207e-01,8.501462936401367188e-01,0.000000000000000000e+00
1.000000000000000000e+00,2.617721259593963623e-01,1.013839125633239746e+00,0.000000000000000000e+00
1.000000000000000000e+00,-5.889872908592224121e-01,8.657298684120178223e-01,0.000000000000000000e+00
1.000000000000000000e+00,3.067642152309417725e-01,1.046689867973327637e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.022547334432601929e-01,1.085913419723510742e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.444145083427429199e-01,8.559132814407348633e-01,0.000000000000000000e+00
1.000000000000000000e+00,3.544830977916717529e-01,1.077535271644592285e+00,0.000000000000000000e+00
1.000000000000000000e+00,-4.049287736415863037e-01,1.381630659103393555e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.124802112579345703e+00,8.987162709236145020e-01,0.000000000000000000e+00
1.000000000000000000e+00,-1.908755116164684296e-02,3.923172131180763245e-02,0.000000000000000000e+00
1.000000000000000000e+00,-3.408491238951683044e-02,2.723382413387298584e-02,0.000000000000000000e+00
1.000000000000000000e+00,-7.635020464658737183e-02,4.224329441785812378e-02,0.000000000000000000e+00
1.000000000000000000e+00,-3.817510232329368591e-02,7.846344262361526489e-02,0.000000000000000000e+00
1.000000000000000000e+00,-1.186154931783676147e-01,5.533105507493019104e-02,0.000000000000000000e+00
1.000000000000000000e+00,-6.544303148984909058e-02,1.133506521582603455e-01,0.000000000000000000e+00
1.000000000000000000e+00,-1.636075787246227264e-02,4.044487699866294861e-02,0.000000000000000000e+00
1.000000000000000000e+00,-3.135811910033226013e-02,3.033365868031978607e-02,0.000000000000000000e+00
1.000000000000000000e+00,-7.089661806821823120e-02,5.086766555905342102e-02,0.000000000000000000e+00
1.000000000000000000e+00,-3.272151574492454529e-02,8.088975399732589722e-02,0.000000000000000000e+00
1.000000000000000000e+00,-1.145253032445907593e-01,6.336494535207748413e-02,0.000000000000000000e+00
1.000000000000000000e+00,-5.726265162229537964e-02,1.176951527595520020e-01,0.000000000000000000e+00
1.000000000000000000e+00,-1.636075787246227264e-02,4.044487699866294861e-02,0.000000000000000000e+00
1.000000000000000000e+00,-3.408491238951683044e-02,2.723382413387298584e-02,0.000000000000000000e+00
1.000000000000000000e+00,-7.362341135740280151e-02,4.683420807123184204e-02,0.000000000000000000e+00
1.000000000000000000e+00,-3.272151574492454529e-02,8.088975399732589722e-02,0.000000000000000000e+00
1.000000000000000000e+00,-1.145253032445907593e-01,6.336494535207748413e-02,0.000000000000000000e+00
1.000000000000000000e+00,-5.726265162229537964e-02,1.176951527595520020e-01,0.000000000000000000e+00
1.000000000000000000e+00,-1.581539958715438843e-01,7.377474009990692139e-02,0.000000000000000000e+00
1.000000000000000000e+00,-7.635020464658737183e-02,1.569268852472305298e-01,0.000000000000000000e+00
1.000000000000000000e+00,-1.636075824499130249e-01,1.442883312702178955e-01,0.000000000000000000e+00
1.000000000000000000e+00,2.045094780623912811e-02,2.171826958656311035e-01,0.000000000000000000e+00
1.000000000000000000e+00,-2.454113662242889404e-01,9.109283983707427979e-02,0.000000000000000000e+00
1.000000000000000000e+00,1.881487220525741577e-01,1.820019334554672241e-01,0.000000000000000000e+00
1.000000000000000000e+00,-2.454113774001598358e-02,7.849328517913818359e-01,0.000000000000000000e+00
1.000000000000000000e+00,-5.180906876921653748e-02,8.273245096206665039e-01,0.000000000000000000e+00
1.000000000000000000e+00,-8.180379122495651245e-02,8.687307834625244141e-01,0.000000000000000000e+00
1.000000000000000000e+00,4.294699132442474365e-01,8.093099594116210938e-01,0.000000000000000000e+00
1.000000000000000000e+00,-4.008385837078094482e-01,8.238661289215087891e-01,0.000000000000000000e+00
1.000000000000000000e+00,-4.799155890941619873e-01,8.312382102012634277e-01,0.000000000000000000e+00
1.000000000000000000e+00,8.998417109251022339e-02,9.556038379669189453e-01,0.000000000000000000e+00
1.000000000000000000e+00,-5.330880284309387207e-01,8.501462936401367188e-01,0.000000000000000000e+00
1.000000000000000000e+00,5.330880284309387207e-01,8.501462936401367188e-01,0.000000000000000000e+00
1.000000000000000000e+00,2.944936454296112061e-01,1.004822254180908203e+00,0.000000000000000000e+00
1.000000000000000000e+00,-5.562657713890075684e-01,8.871091604232788086e-01,0.000000000000000000e+00
1.000000000000000000e+00,3.067642152309417725e-01,1.046689867973327637e+00,0.000000000000000000e+00
1.000000000000000000e+00,-6.816982477903366089e-02,1.088584780693054199e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.798628211021423340e-01,8.237442374229431152e-01,0.000000000000000000e+00
1.000000000000000000e+00,3.544830977916717529e-01,1.077535271644592285e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.047088503837585449e+00,9.234453439712524414e-01,0.000000000000000000e+00
1.000000000000000000e+00,-5.235442519187927246e-01,1.294236063957214355e+00,0.000000000000000000e+00
1.000000000000000000e+00,-4.049287736415863037e-01,1.381630659103393555e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.079810023307800293e+00,9.523030519485473633e-01,0.000000000000000000e+00
1.000000000000000000e+00,-4.171993434429168701e-01,1.423498272895812988e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.099102854728698730e-01,1.392980337142944336e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.909488201141357422e+00,7.948181629180908203e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.924485445022583008e+00,7.989151477813720703e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.590453386306762695e+00,7.874296188354492188e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.604087352752685547e+00,7.915739536285400391e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.644989252090454102e+00,8.040070533752441406e+00,1.000000000000000000e+00
1.000000000000000000e+00,3.190347671508789062e+00,7.886750698089599609e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.939482927322387695e+00,8.030121803283691406e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.331408023834228516e+00,7.954843044281005859e+00,1.000000000000000000e+00
1.000000000000000000e+00,3.173986911773681641e+00,7.846305847167968750e+00,1.000000000000000000e+00
